StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,Manager Name
The Serene Marketplace,Outlet Stores,1983-04-04,42823 Matthews Spur Suite 229 New Thomas  NV 03337,North Warren,South Carolina,Egypt,West,Robin
The Urban Finds,Outlet Stores,2020-11-08,111 Kirby Ports Suite 650 Bridgetland  AS 91010,Sheilaborough,Vermont,Argentina,West,Jocelyn
The Whimsy Cabinet,Exclusive,1971-07-22,033 Edward Circle South Phillipland  NH 54090,Jessicaton,Oklahoma,Panama,South,Darren
The Majestic Hub,MBO,1980-11-27,934 John Terrace Suite 628 Stevenborough  OH 42009,Mathisshire,Alaska,Jordan,West,Dale
The Unique Marvels,Exclusive,2007-10-24,796 James Valley Port Jordanland  FM 82971,Mooreberg,Georgia,Korea,North,Morgan
The Stylish Closet,MBO,1971-12-10,74780 Samuel Orchard Bowmanland  OK 54625,Aaronville,North Dakota,Heard Island and McDonald Islands,North,James
The Chic Reflections,Outlet Stores,2010-05-20,971 Marc Club Greeneville  ND 05600,West Tracie,Iowa,Turkey,South,Rodney
The Blissful Hub,MBO,1993-01-10,73339 Jodi Street Suite 917 North Faithside  OR 42290,New Jenniferfort,New York,Portugal,West,Shirley
The Trendy Hub,Exclusive,2016-05-31,PSC 4938  Box 3683 APO AP 30401,West Barbarafurt,Mississippi,Vietnam,South,Jennifer
The Chic Treasures,Outlet Stores,2012-05-05,17567 James Mews Port Jennifermouth  KS 35160,Phillipsburgh,Pennsylvania,Kyrgyz Republic,North,Ann
The Golden Quest,MBO,2005-04-15,3931 Chen Alley Javierberg  HI 93738,Morristown,Maine,Barbados,East,Jeffery
The Urban Creations,Outlet Stores,1983-05-26,5191 Denise Cape Apt. 342 Elizabethberg  NH 50514,Andrewmouth,Maryland,Burundi,West,Kathleen
The Golden Enclave,Outlet Stores,2019-10-04,7140 Smith Branch Apt. 120 Erinside  SC 45741,Jeremychester,Montana,Tonga,North,Susan
The Classy Boutique,MBO,1995-09-24,241 Wade Inlet Apt. 130 West Harry  MT 53751,Lake Jacob,Kentucky,Niue,East,Steven
The Harmony Vault,SMB,1983-05-12,42721 Kelsey Cove Suite 441 Margarethaven  LA 70527,Simsmouth,Utah,New Caledonia,West,Michael
